learning_language,from_language,points,skills_learned,total_lessons,days_active,last_active,prior_proficiency,subscribed
la,en,0,0,0,0,,,
ru,en,62,0,3,3,2024-04-04 23:54:00,,
ko,en,883,0,59,24,2021-10-25 06:57:23,,2016-12-31 17:30:58
en,en,165,0,1,1,2024-04-19 11:38:40,,
it,en,0,0,0,0,,,
es,en,9688,0,349,94,2022-07-31 07:14:26,1,
de,en,1473,0,41,11,2022-02-27 03:06:57,,
el,en,15,0,1,1,2018-08-01 14:17:48,,
fr,en,297226,0,7994,1538,2024-04-30 01:37:24,2,
sw,en,1758,0,34,26,2023-07-18 14:44:02,,
ja,en,2969,0,158,54,2023-09-11 15:58:57,,
hv,en,80,0,6,3,2020-07-07 05:13:46,,
tlh,en,,,,,,,2016-12-31 17:31:27
tr,en,45,0,3,1,2018-09-26 01:12:18,,
